"","k","CRAB","run"
"352",3,0.000397847978718886,26
"353",4,0.123658916161285,26
"354",5,0.0817188950762587,26
"355",6,0.0854910382411676,26
"356",7,0.0835746169991465,26
"357",8,0.0809662722469596,26
"358",9,0.0781552810650642,26
"359",10,0.0651324774895108,26
"360",11,0.0612379697060998,26
"361",12,0.0605954641390772,26
"362",13,0.0600090156238868,26
"363",14,0.056670833529119,26
"364",15,0.0530757643731997,26
"365",2,0.00662172602579368,27
"366",3,0.000397733490882595,27
"367",4,0.120931099194093,27
"368",5,0.0832014764047076,27
"369",6,0.0846736576756399,27
"370",7,0.0830715829181093,27
"371",8,0.0807539661753126,27
"372",9,0.0784978421522743,27
"373",10,0.0660424655193487,27
"374",11,0.0618725571663758,27
"375",12,0.0602767463676715,27
"376",13,0.0597616412054044,27
"377",14,0.0560283065340024,27
"378",15,0.0525757632287182,27
"379",2,0.00672033245042542,28
"380",3,0.000476728576316869,28
"381",4,0.117349062718055,28
"382",5,0.0818444340993367,28
"383",6,0.0852103360444525,28
"384",7,0.0849328185135796,28
"385",8,0.0816660552435741,28
"386",9,0.0793022062666074,28
"387",10,0.0665707807360564,28
"388",11,0.0625820862671724,28
"389",12,0.0609340631899731,28
"390",13,0.0599417593381104,28
"391",14,0.0559837596782052,28
"392",15,0.0524646709864626,28
"393",2,0.00641758724227192,29
"394",3,0.000764450046646269,29
"395",4,0.117428972746046,29
"396",5,0.0820007864261677,29
"397",6,0.0853287008480539,29
"398",7,0.0848208946701554,29
"399",8,0.0812912927373977,29
"400",9,0.0787421927803143,29
"401",10,0.0667695317488678,29
"402",11,0.0627072988908454,29
"403",12,0.0611839121142698,29
"404",13,0.0600896458072129,29
"405",14,0.0560825225239595,29
"406",15,0.0524553338449191,29
"407",2,0.0063149752355,30
"408",3,0.000764103417917391,30
"409",4,0.113480134560352,30
"410",5,0.0813801939599321,30
"411",6,0.0858094951650228,30
"412",7,0.084100724216701,30
"413",8,0.0812228695146499,30
"414",9,0.0786049365222408,30
"415",10,0.066581533519572,30
"416",11,0.0628193514450239,30
"417",12,0.0613960817421312,30
"418",13,0.0600788807398803,30
"419",14,0.0560006846293319,30
"420",15,0.052419655702223,30
